PROTOCOL,REGEX_PATTERN,Label,VENDOR,DEVICE_TYPE,DEVICE_MODEL,OS,
rtsp,'H264DVR','IoT','H.264','DVR','Unknown','Unknown',
rtsp,'HiIpcam/V100R003 VodServer','IoT','Hisilicon HiIpcam','DVR','V100R003','Unknown',
rtsp,'Win32','IoT','Microsoft','Windows','Win32','Windows',
rtsp,'Server: Wowza','Desktop','Wowza','media server software','Unknown','Unknown',
telnet,'(DAM-2160i)','IoT','GOSUNCN','Intelligent IoT Data Collector',match.group(1),'embedded',
http,'(DAM-2160i)','IoT','GOSUNCN','Intelligent IoT Data Collector',match.group(1),'embedded',
http,'Gosuncn','IoT','GOSUNCN','smart IoT data collector','Unknown','embedded',
ftp,'AXIS (225FD9)','IoT','AXIS','IP Camera',match.group(1),'embedded',
ftp,'AXIS (P3707-PE)','IoT','AXIS','IP Camera',match.group(1),'embedded',
ftp,'AXIS (M3044-V)','IoT','AXIS','IP Camera',match.group(1),'embedded',
ftp,'AXIS (211M)','IoT','AXIS','IP Camera',match.group(1),'embedded',
http,'Hortonworks SmartSense Tool','IoT','SmartSense','ICS','Unknown','Unknown',
http,'WowzaStreamingEngine','Desktop','Wowza','media server software','Unknown','Unknown',
http,'LANCOM (\d{3}\d?[EV]?[AF]?)','IoT','LANCOM','VDSL Modem Router',match.group(1),'embedded',
http,'LANCOM (R\d{3}VA\w?)','IoT','LANCOM','VoIP',match.group(1),'embedded',
http,'FWD305','IoT','FAST','Router','FWD305','embedded',
http,'ADSL2+ Router FWD105','IoT','FAST','ADSL Modem Router','FWD105','embedded',
http,'(M[DW]\d{3}[RN])','IoT','Mercury','wireless router',match.group(1),'embedded',
telnet,'AC12 login','IoT','Mercury','router','AC12','embedded',
telnet,'APN MOON266','IoT','OLYM','VPN','Moon266','embedded',
telnet,'APN (STAR\d{2})','IoT','OLYM','VPN',match.group(1),'embedded',
http,'Digest realm="Realm3"','Desktop','Realm3','web application','Unknown','embedded',
telnet,'(NB-1\d{3}) login','IoT','avvero','ICS Indutrial Router',match.group(1),'embedded',
telnet,'(NB-2\d{3}) login','IoT','avvero','ICS Indutrial Vehicle Router',match.group(1),'embedded',
telnet,'(NB-3\d{3}) login','IoT','avvero','ICS Indutrial Train Router',match.group(1),'embedded',
telnet,'Welcome to the Tiesse Imola router','IoT','Tiesse','Router','Imola series','embedded',
telent,'MOSA4604 IP PBX','IoT','MOSA','Gateway VoIP','MOSA4604','embedded',
http,'Digest realm="MM01-005H"','IoT','MMC Technology','Router','MM01-005H','embedded',
http,'Basic realm="MSV-NVR32Pro"','IoT','VIP vision','NVR','MSV-NVR32Pro','embedded',
http,'Digistar (XIP-\d{3})','IoT','Digistar','VoIP',match.group(1),'embedded',
http,'Digistar AG-30 Plus','IoT','Digistar','VoIP','Unknown','embedded',
http,'GOPON-1000R-ONU','IoT','Syrotech','GPON Router','GOPON-1000R-ONU','embedded',
ftp,'(XIP\d{3})','IoT','Digistar','VoIP',match.group(1),'embedded',
http,'(P-\d{2}\d?\d?0H?W?V?-[TF]1)','IoT','ZyXEL','Router',match.group(1),'embedded',
telnet,'iPocket232','IoT','Precidia','RS232 to Ethernet Converter','iPocket232','embedded',
http,'DCFW-1800','IoT','DCN','Firewall','DCFW-1800','embedded',
http,'Basic realm="TP-LINK Router (R\d{3}T?)','IoT','TP-LINK','Router',match.group(1),'embedded',
http,'Basic realm="TP-LINK Router R4199G','IoT','TP-LINK','Router','R4199G','embedded',
http,'(THS12[08]EP)','IoT','tg-net','POE',match.group(1),'embedded',
ftp,'220 SPECTRE-3G FTP server','IoT','Spectre','ICS','Unknown','embedded',
http,'Basic realm="SPECTRE-3G"','IoT','Spectre','ICS','Unknown','embedded',
telnet,'SPECTRE-3G login','IoT','Spectre','ICS','Unknown','embedded',
http,'Basic realm="(ZNID\d\d?xxx?A?\d?-Router)"','IoT','Zhone','Router',match.group(1),'embedded',
http,'Basic realm="(ETHX32xx-Router)"','IoT','Zhone','Router',match.group(1),'embedded',
http,'Basic realm="ENH200EXT"','IoT','Engenius','Outdoor Wireless CPE','ENH200EXT','embedded',
ssl,'EC230-G1','IoT','TP-Link','Router','EC230-G1','embedded',
http,'WL500g','IoT','ASUS','Router','WL500g','embedded',
http,'UMG512-4200-4760','IoT','Janitza','ICS','UMG512-4200-4760','embedded',
http,'(iB-WR[AX]300N)','IoT','iBall-Baton','Router',match.group(1),'embedded',
http,'(iB-FONG11G)','IoT','iBall-Baton','GPON Router',match.group(1),'embedded',
http,'Basic realm="WRG240E"','IoT','Intelbras','Router','WRG240E','embedded',
http,'FK-ONT-G420W','IoT','Furukawa Electric','GPON Modem','FK-ONT-G420W','embedded',
telnet,'EZCH31 login','IoT','EZOPower','Wireless SD Card Reader','EZCH31','embedded',
telnet,'LG-D600 login','IoT','Ledgo','LED Fresnel with WiFi','LG-D600','embedded',
telnet,'IPC365 login','IoT','IPC365','IP Camera','Unknown','embedded',
http,'Basic realm="\[RTX830\]"','IoT','Yamaha','VPN Router','RTX830','embedded',
http,'Basic realm="\[NVR510\]"','IoT','Yamaha','VoIP Router','NVR510','embedded',
telnet,'routerR20 login','IoT','NETGEAR','Router','RBR20','embedded',
http,'Basic realm="RouterR20"','IoT','NETGEAR','Router','RBR20','embedded',
http,'Basic realm="NETGEAR VEGN2610"','IoT','NETGEAR','Router','VEGN2610','embedded',
http,'Basic realm="NETGEAR XR500"','IoT','NETGEAR','Router','XR500','embedded',
http,'Basic realm="NETGEAR RAX40"','IoT','NETGEAR','Router','RAX40','embedded',
telnet,'DPF-1500E','IoT','D-Link','Router','DPF-1500E','embedded',
http,'H264DVR','IoT','Unknown','DVR','Unknown','embedded',
http,'Basic realm="Asoni_CAM6742"','IoT','Asoni','IP Camera','CAM6742','embedded',
http,'Basic realm="CAM6082QIR"','IoT','Asoni','IP Camera','CAM6082QIR','embedded',
http,'MP202','IoT','audiocodes','Audio Gateway','MP202','embedded',
http,'(JNR\d{4})','IoT','NETGEAR',router,match.group(1),'Unknown'
http,'Oracle-Application-Server-10g','Desktop','Oracle','Web Service','Unknown','Unknown',
telnet,'dm7020hd?','IoT','DreamBox','TV Satelite receiver','dm7020hd','embedded',
http,'OpenDreambox.*dm800','IoT','DreamBox','TV Satelite receiver','dm800','embedded',
http,'(DSL\d{4}EN)','IoT','AzTech','ADSL Modem Router',match.group(1),'embedded',
telnet,'(sbs-ipcam login)','IoT','SBS','Action Camera','SBS Action Camera','embedded',
http,'(USG\d{2}\d?\d?)','IoT','ZyXE','Firwall',match.group(1),'embedded',
telnet,'(USG\d{2}\d?\d?)','IoT','ZyXE','Firwall',match.group(1),'embedded',
telnet,'AirMax5N','IoT','AirLive','Wireless Outdoor CPE','AirMax5N','embedded',
http,'3G Wireless Gateway B68L','IoT','HUAWEI','3G Wireless Gateway','B68L','embedded',
http,'Apache','Desktop','Unknown','Unknown','Unknown','Unknown',
telnet,'(DSL-\w\w?\d{2})','IoT','ASUS','Router',match.group(1),'embedded',
http,'(DSL-\w\w?\d{2})','IoT','ASUS','Router',match.group(1),'embedded',
http,'(WV-S\w\d{3}\w?) Network Camera','IoT','Panasonic','IP Camera',match.group(1),'embedded',
http,'(BL-\w{2}\d{3}) Network Camera','IoT','Panasonic','IP Camera',match.group(1),'embedded',
http,'(BB-S\w\d{3}) Network Camera','IoT','Panasonic','IP Camera',match.group(1),'embedded',
http,'CH7486E Wireless Voice Gateway','IoT','CBN','Wireless Voice Gateway','CH7486E','embedded',
http,'QVM570','IoT','Qno','VPN Router','QVM570','embedded',
http,'SMA Sunny Webbox','IoT','solarflexion','Wireless Voice Gateway','SMA Sunny Webbox','embedded',
http,'CVR100W','IoT','Panasonic','IP Camera','CVR100W','embedded',
